"","dim2","dim3","nhid"
"1",-0.0681635622288965,-2.32486616045408,1
"2",1.85210268077503,1.75006367979746,2
"3",2.38353333968062,2.09662177224449,3
"4",2.5951561174716,2.85792187971539,4
"5",2.87204007210495,0.0759413815831589,5
"6",3.13173862900738,4.19632365468338,6
"7",3.26110471452467,5.01495294825676,7
"8",3.50244996559763,4.07160635434235,8
"9",3.9603914360637,5.1504336816524,9
"10",3.61276757367011,5.69239029351838,10
"11",3.75595057211991,5.34119446656385,11
"12",4.25627520907764,5.37692717988291,12
"13",4.33023935895493,6.24642285675242,13
"14",4.23851781255845,4.76891242746697,14
"15",4.33867426011418,5.94059448073693,15
"16",4.38362949430122,6.29828206158858,16
"17",4.24470584385275,6.37965580125468,17
"18",4.45871941209175,6.34963996514456,18
"19",4.37379947760216,5.92524949584767,19
"20",4.55780118076943,6.10652840199446,20
"21",4.38019601345046,5.87215729447028,21
"22",4.24611123941361,5.929055528274,22
"23",4.43285828317866,6.29492174529711,23
"24",4.18934297808721,6.02410003467074,24
"25",4.48246353071308,-92.4927105625519,25
"26",4.45364473662554,6.17061943015174,26
"27",4.40955023495702,6.20535554718098,27
"28",4.27761278131188,-433.418174573261,28
"29",4.19256477563527,4.62919181535954,29
"30",4.27882232661093,5.87300623002746,30
"31",4.30977335268248,5.58484741295602,31
"32",4.27186451008843,5.26435521651333,32
"33",4.30689693146553,5.17763736830959,33
"34",4.16624027907689,5.09682164272418,34
"35",4.06103328399358,5.03572186018681,35
"36",4.03766514856045,5.10920987485367,36
"37",4.17600470186805,-296.545117078111,37
"38",4.10530877367863,-154.332443831143,38
